locName,region
Los Copihues,Araucanía
Farellones costeros,Antofagasta
Playa El Huáscar,Antofagasta
Ruta Y-50 km 15 al km 30,Magallanes
Ruta Y-50 km 1 al km 15,Magallanes
Desembocadura Río ?,Magallanes
Leñadura (vega camino),Magallanes
Camino Cerro Manchon,Región Metropolitana de Santiago
Costanera cultural,Los Ríos
Corporación Municipal de La Florida,Región Metropolitana de Santiago
La Negra,Antofagasta
UPV,Coquimbo
Salar Grande,Atacama
PN Torres del Paine--Isla Notro,Magallanes
humedal catrico,Los Ríos
Puente Rio Maipo - Melipilla (bypass),Región Metropolitana de Santiago
"CL-Antofagasta-Avenida Jose Manuel Balmaceda - -23,6447x-70,4025 - 28-11-2015 17:33",Antofagasta
Central Rapel 1 (RM),Región Metropolitana de Santiago
Valle Chacabuco (camino a Paso Roballos),Aisén del General Carlos Ibáñez del Campo
Plaza O'Higgins (Valparaíso),Valparaíso
Licanteu -> La Boca,Libertador General Bernardo O'Higgins
Licancheu,Libertador General Bernardo O'Higgins
G-884 // San Gerónimo,Valparaíso
"Aguada de Panulcito, Paposo",Antofagasta
El tranque,Valparaíso
Maicolpué - Pucatrihue,Los Lagos
Camino hacia Salar Grande,Atacama
Puerto Varas--Sur,Los Lagos
La Serena Zoo,Coquimbo
Laguna grande Jardín Botánico U de Talca,Maule
Isla Hornos,Magallanes
Lo Curro--rocas escalada,Región Metropolitana de Santiago
"Ruta 90, Pichilemu, O'Higgins, CL (-34,349, -71,932)",Libertador General Bernardo O'Higgins
Estero Las Yaretas--Vegas,Región Metropolitana de Santiago
Ensenada Villarino,Magallanes
Salar de La Laguna,Atacama
"Bandurrias, Paposo",Antofagasta
Los Vilos--Playa,Coquimbo
Estero Nilahue--Salinas de Cáhuil poniente,Libertador General Bernardo O'Higgins
valle la canela 1,Magallanes
Aguada Matancilla,Antofagasta
"Aisén del General Carlos Ibáñez del Campo, CL",Aisén del General Carlos Ibáñez del Campo
Playa las Machas (Bahía Inglesa),Atacama
Pasaje de Drake,Magallanes
Quebrada Ingenio,Coquimbo
de Algarrobo a Peñablanca,Valparaíso
Malloa,Libertador General Bernardo O'Higgins
Laguna Los Piures,Libertador General Bernardo O'Higgins
Villarrica--Costanera,Araucanía
C351,Atacama
Lolol,Libertador General Bernardo O'Higgins
"Salto El Leon, Pucón, Araucanía, CL (-39,42, -71,761)",Araucanía
Pucón--Playa grande,Araucanía
Lago Tinquilca,Araucanía
"Valle del Lluta, entre Poconchile y Molios",Arica y Parinacota
Laguna de Aculeo,Región Metropolitana de Santiago
Chusmiza,Tarapacá
"Ruta 43, Animas",Coquimbo
SN Horcón de Piedra--Quebrada del Cepillo,Región Metropolitana de Santiago
Cholqui,Región Metropolitana de Santiago
Río Mapocho--Puente San Francisco,Región Metropolitana de Santiago
Río Florín,Los Ríos
Hotel Club L.S.,Coquimbo
PN Torres del Paine--Camping Grey,Magallanes
Maullín--Costanera,Los Lagos
"Near Salto Chico, Los Monos, Los Lagos, CL (-41,527, -73,219)",Los Lagos
Peaje Lampa,Región Metropolitana de Santiago
Río Leñadura--Desembocadura,Magallanes
Centro Empresarial,Coquimbo
Leñadura,Magallanes
Central Pangal,Libertador General Bernardo O'Higgins
"Volcan Villarica, Pucón, Araucanía, CL (-39,392, -71,961)",Araucanía
"Valle del Lluta, camino interior 5 k desde Arica  ",Arica y Parinacota
Río Maullín,Los Lagos
Chepu,Los Lagos
Quebrada Naguayán,Antofagasta
laguna junto a ruta a Onaisin en Bahía inutil,Magallanes
Fuerte San Antonio,Los Lagos
Parque Pingüino Rey--Lagunas posteriores,Magallanes
Río Loa--Puente Ruta 24,Antofagasta
RN Colonia Pingüinos de Magallanes,Magallanes
Camino a Fray Jorge,Coquimbo
Pupio,Coquimbo
RN El Yali--Laguna Colejuda,Valparaíso
"Laguna Las Taguas, camino a Tranque Baño Nuevo",Aisén del General Carlos Ibáñez del Campo
Lagunas don Carrasco,Aisén del General Carlos Ibáñez del Campo
Cerro Pelado,Maule
Puente Pedregoso,Aisén del General Carlos Ibáñez del Campo
RN.Nonguen,Bío-Bío
Quebrada del Morado,Atacama
Futrono,Los Ríos
Camping Puerto Oscuro,Coquimbo
Aguas Calientes,Ñuble
Ovalle--Quebrada Las Brisas,
Los Senderos de Chepu,Los Lagos
Punta Mal Paso,
Acceso a playa Agua Dulce,Coquimbo
"CL-Región de Antofagasta-Mejillones - -22.879x-70.278 - dic 16, 2015 11:41",Antofagasta
Ruta Punta Colorada,
Río Serrano--entre Porvenir y Bahía Azul,
Playa Pitreño,
Pelluhue,Maule
Valle de Aguas Calientes,Ñuble
"El Almendral, Tranque",Libertador General Bernardo O'Higgins
Camino costero a Calbuco,Los Lagos
Río Loa--Aduana Quillagua,Antofagasta
PN Lauca--Casa vieja,
RN Pampa del Tamarugal--Puquíos de Llamara,Tarapacá
Laguna Coluco,Los Lagos
Ruta a Parque Fray Jorge,Coquimbo
Avellanos Delta Lago Gen Carrerra,Aisén del General Carlos Ibáñez del Campo
RN Pampa del Tamarugal--Geoglifos de Pintados,
CL-Región de Antofagasta-Antofagasta-310-350 Huasco - -23.618x-70.389,Antofagasta
Pampa Unión,Tarapacá
Pequeño afluente de agua,
"Avenida Cristobal Colon, Las Condes, Región Metropolitana, CL",Región Metropolitana de Santiago
Oficina Victoria,Tarapacá
Parque los Arenales,Araucanía
Mar Chileno,Magallanes
Espejo de agua,Coquimbo
Valle Las Chinas,Magallanes
Río Toro--Tramo Juntas a Posesión,Coquimbo
Quillagua,Antofagasta
Bofedal,Coquimbo
Ruta El Romeral - El Chacay,Coquimbo
"Quebrada 1, cerca de majadas.",Coquimbo
Valdivia--Feria Fluvial,Los Ríos
Relicura,Araucanía
"Pampa del Tamarugal, planta tratamiento de aguas",Tarapacá
"CL-Bío-Bío-Concepción-Calle Costanera - -36,7756x-73,0449",
Loreras,
Casa Chueca,Maule
Alrededores Isla Hornos,Magallanes
Lago Huillinco--Puente La Caldera,Los Lagos
"CL-Metropolitana de Santiago-Estación Central-Universidad De Santiago De Chile - -33,4491x-70,6817",Región Metropolitana de Santiago
"Caleta Manzano, Los Lagos, CL (-42,024, -72,636)",Los Lagos
Oazy Harbour--Laguna salobre,
Ruta Y-455--entre Gallegos Chico y Oazy Harbour,Magallanes
Río Gamboa--desembocadura,
"Pampa del Tamarugal, Sector Mezquita.",
Río Rubens,
Santiago - Vitacura,
"Pampa Perdiz, km 15 de la Ruta A 616",Tarapacá
Playa Campus Coloso UA,Antofagasta
"Camping Cacscada Escondidas, Pumalin, Chaitén, Los Lagos, CL (-42,676, -72,581)",Los Lagos
"CL-Metropolitana de Santiago-Estación Central-Universidad De Santiago De Chile - -33,4491x-70,6819",
Huara,
Ruta Y-405 Km 31 al 50,
Parque Pingüino Rey,
"Ferry ride Hornopiren - Caleta Gonzalo, CL (-42,267, -72,837)",Los Lagos
Sector Quebrada de Soga,Tarapacá
"CL-Coquimbo-Los Vilos-D-875 - -32,1138x-71,3134",
"CL-Metropolitana de Santiago-Estación Central-Universidad De Santiago De Chile - -33,4494x-70,6820",Región Metropolitana de Santiago
Quiuña,Tarapacá
Pisagua Viejo,
isla teja-Laguna,Los Ríos
Parque Pumalín Sur (Amarillo)--Sendero Ranita de Darwin,Los Lagos
RN Pampa del Tamarugal--Sector norte,
"CL-Metropolitana de Santiago-Estación Central-Avenida El Belloto - -33,4497x-70,6817",Región Metropolitana de Santiago
CL-Santiago Metropolitan Region-Vitacura-5757 Av Presidente Kennedy - -33.4x-70.574,
Playa El Elefante,Antofagasta
Tocopilla,Antofagasta
Túnel Galleguillos--Norte,Antofagasta
Rotonda Grecia,Región Metropolitana de Santiago
Playa El Águila,Tarapacá
Playa Chauca,Tarapacá
"Humedal Ánima y Estero Poleo, Ruta D-115 Km 72",Coquimbo
Caleta Gonzalo,Los Lagos
Iquique--Puerto,
Termas de Catillo,
"Camping, Lago Rio Blanco, Carretera Austral, Chaitén, Los Lagos, CL (-42,751, -72,604)",Los Lagos
Vegas superiores del Embalse,
Ruta D-115--Quebrada Aguachentas,
La Laguna - La Colorada,Coquimbo
Mirador PN Pan de Azúcar,
Camino Embalse El Yeso,Región Metropolitana de Santiago
"29°55'24.25""S - 70°18'11.28""O",Coquimbo
Santo Domingo - Golf,Valparaíso
Condominio Las Perdices,Coquimbo
Playa aguas blancas,Valparaíso
Portillo,
Río Mapocho--Humedales aeropuerto,
Parque Valle del Yeso,Región Metropolitana de Santiago
Pond near Seno Ortway peguin colony,Magallanes
Yeso Valley above embalse,Región Metropolitana de Santiago
Río Punin--Desembocadura,
Laguna Blanca (Magallanes),
Ruta 23-CH 1km. antes de desvío a Camar,Antofagasta
Playa Itata,Antofagasta
G-108,Región Metropolitana de Santiago
road g102 near lo Marin,
"CL-Bío-Bío-Antuco-Q-45 - -37,3983x-71,4402",Bío-Bío
Muelle Enrique Avello,Magallanes
"Meadows Mehuin, Mariquina, Los Ríos, CL (-39,443, -73,184)",Los Ríos
HALCruise_121415_Beagle Channel,Magallanes
Chiu-Chiu encuentro ríos,Antofagasta
Estrecho de Magallanes--Inicio Este,Magallanes
Buque Vapor Amadeo,
HALCruise_121515_1745,Magallanes
Hacienda Josefina,Magallanes
"CL-Metropolitana de Santiago-Estación Central-Universidad De Santiago De Chile - -33,4483x-70,6818",
Laguna frente Ea. Teresita,Magallanes
Parque Puente Ñilhue--Bifurcación a Vallecito,Región Metropolitana de Santiago
"Costanera Punta Arenas -53.122x-70.868 - dic 18, 2015 20:26",
"Fields SE Collipulli, Collipulli, Araucanía, CL (-38, -72,378)",Araucanía
Cruce los Libertadores,
Tercera Barranca,Magallanes
Santiago-Huechuraba-El Carmen,Región Metropolitana de Santiago
HALCruise_121615_1830,Magallanes
"CL-Región de Magallanes y de la Antártica Chilena-Porvenir - -53.28x-70.008 - dic 17, 2015 06:15",
CL-IX Región-Pucón-282 Miguel Ansorena - -39.275x-71.976,Araucanía
Camping Laguna del Maipo,
Lago Rupanco,
Pastizales al inicio camino a Cordón Baquedano,Magallanes
Pampa Larga -52.164x-69.919,Magallanes
Pampa Larga -52.173x-69.878,
Buque Quemado -52.384x-69.509,Magallanes
Playa Negra,
HALCruise_121715_1126,Aisén del General Carlos Ibáñez del Campo
PN Conguillío--Sendero Los Carpinteros,
Alconcha,Antofagasta
HALCruise_121715_1026,
HALCruise_121715_0926,Aisén del General Carlos Ibáñez del Campo
Sierra Baguales -50.831x-72.396,
Santiago Centro,
Sierra Baguales -50.738x-72.413,
PN Puyehue--Sendero Salta Princesa,
Parque Doña Francisca,Ñuble
HALCruise_121815_0840,Los Lagos
"Huasco, Playa Grande, CL",
Carretera Vicuña,Coquimbo
Reserva Altos de Cantillana (Desde 1000 msnm a Pozas Las Canchas,
Llanos Las Liebres,Coquimbo
Juntas del Toro - Los Corrales,Coquimbo
HALCruise_121915_1517,
Infiernillo,Coquimbo
Av. República,Región Metropolitana de Santiago
"Ruta 9, al norte del aeropuerto -52.983x-70.817",Magallanes
Reserva Altos de Cantillana (Sendero hasta 1000 msn),Región Metropolitana de Santiago
Punta Arenas airport,Magallanes
Sendero Lagos Andinos,Araucanía
Río de La Laguna--Puente de Madera (7km de juntas del Toro),Coquimbo
CL-Metropolitana de Santiago-Melipilla,Región Metropolitana de Santiago
Laguna temporal cerca Los Palos,Magallanes
Purén,Araucanía
Parque Zoológico Buin Zoo,Región Metropolitana de Santiago
Ea. Alejandro (al lado del camino),Magallanes
Negocio huentelauquen,Coquimbo
Siembra Don Alejandro,Magallanes
Fox Den,Magallanes
Reñaca,Valparaíso
Laguna El Toro,Aisén del General Carlos Ibáñez del Campo
Plaza del Pueblo,Valparaíso
Robleria - Quebrada La Fragua - 1550 msn,Región Metropolitana de Santiago
"La Parva, vegas",Región Metropolitana de Santiago
Puente Perales,Bío-Bío
Árbol seco llegando a El Tangue,Coquimbo
Ruta 9 Norte Km 214 (Sector Lanuras de Diana),Magallanes
CL-Región Metropolitana-Conchalí-1218 Cacique Andalican - -33.387x-70.659,Región Metropolitana de Santiago
"Parque El Yeso, vegas",Región Metropolitana de Santiago
Cerca de Diego de Almagro,Atacama
Highway 9-Puert Natales to Torres del Paine National Park,Magallanes
"La Granja, Cañete",Bío-Bío
"CL-Metropolitana de Santiago-Ñuñoa-Calle Dublé Almeyda 3001-3197 - -33,4569x-70,5984",Región Metropolitana de Santiago
Rio Loa,Antofagasta
El Mirador de Quilacán,Coquimbo
Antonio Varas--Ciclovía,Región Metropolitana de Santiago
Viña Concha y Toro,Región Metropolitana de Santiago
Tiliviche,Tarapacá
Hijuela Onan Lagos Zuñiga,Araucanía
PN Puyehue--Salto del Indio,Los Lagos
"CL-Coquimbo-Combarbalá-1890000 - -31,2278x-71,0464",Coquimbo
Cocholgue,Bío-Bío
"CL-Coquimbo-Combarbalá-D-71 - -31,1868x-71,0307",Coquimbo
SN Altos de Cantillana,Región Metropolitana de Santiago
Libueno,Maule
Balseo San Javier,Los Ríos
La Serena Golf,Coquimbo
Camino a Putre,Arica y Parinacota
Puerto Montt -- puerto,Los Lagos
PN Puyehue--Cráter Raihuén,Los Lagos
"Humedal cerro la u, camino a las industrias",Bío-Bío
Laguna Llancalil (San Jorge),Araucanía
PN Conguillío--Laguna Conguillío,Araucanía
"Río Aconcagua, Quillota",Valparaíso
Guanaqueros--Quebradas,Coquimbo
"CL-Coquimbo-Combarbalá-Calle Alonso de Ercilla - -31,1756x-70,9972",Coquimbo
Tunquén--fundo La Boca,Valparaíso
"CL-Magallanes y La Antártica Chilena-Primavera-CH-257 - -52,5988x-69,3661",Magallanes
Canal Ninualac -- oeste,Aisén del General Carlos Ibáñez del Campo
Punta de Parra,Bío-Bío
Canal Ninualac -- este,Aisén del General Carlos Ibáñez del Campo
CL-Santiago-San José de Maipo-9460000 - -33.8243x-70.0518,Región Metropolitana de Santiago
Chile Vina del Mar Cap Ducal,Valparaíso
Chile Vina del Mar Roca Montemart,Valparaíso
Canal Moraleda -- oeste de Isla Magdalena,Aisén del General Carlos Ibáñez del Campo
"Quebrada de Bartolo, Mirasol, Algarrobo",Valparaíso
Canal Moraleda --entrada,Aisén del General Carlos Ibáñez del Campo
Plazoleta Goleta Ancud,Los Lagos
Golfo de Corcovado -- sur,Aisén del General Carlos Ibáñez del Campo
Parque Andino Juncal--Acceso,Valparaíso
Chile Quintero Humbolt Pelagic,Valparaíso
Canal Wide,Magallanes
Punta Teatinos--Casa SAG,Coquimbo
Francisco de Aguirre--Pastizales,Coquimbo
Tril - Tril,Los Lagos
"CL-Coquimbo-Combarbalá-1890000 - -31,1542x-71,0114",Coquimbo
Cerro altos de Ninhue,Ñuble
Maicolpue,Los Lagos
Laguna Verde (oeste),Magallanes
Bahía Mansa,Los Lagos
Laguna Auzl a Laguna Amarga,Magallanes
Laguna Verde,Magallanes
Bajo Cotopaxi,Magallanes
Caleta tumbes,Bío-Bío
Laguna frente a Ea. Teresita,Magallanes
Subiendo a El Yeso,Región Metropolitana de Santiago
Canal Messier -- entrada,Aisén del General Carlos Ibáñez del Campo
Hostería vilches,Maule
J-60 entre Lora y El Guapi,Maule
"Costanera, Monolito Reservistas",Los Lagos
CL-Biobío-Chillán-3780000 - -36.5958x-72.0838,Ñuble
Río Rahue--Osorno,Los Lagos
Belén,Arica y Parinacota
Golfo Almirante Montt -- oeste,Magallanes
Canal Unión,Magallanes
Caburgua Region,Araucanía
Morro de Arena Gruesa,Los Lagos
Laguna Azul a Rio Grey,Magallanes
Los Flamencos National Reserve,Antofagasta
Alto Río Cisnes (sector Casas Verdes),Aisén del General Carlos Ibáñez del Campo
Roma (Baños del Coco),Libertador General Bernardo O'Higgins
Tapera Sector Cuero Bayo,Aisén del General Carlos Ibáñez del Campo
"Rio Anticura Trails, Puyehue N.P.",Los Lagos
CL-Biobío-Chillán-Calle Gerona - -36.5958x-72.0638,Ñuble
Ojo de los Huairavos,Arica y Parinacota
Playa por palqui,Los Lagos
"Quellon Viejo, Chiloe, CL",Los Lagos
Tunquen,Valparaíso
Mirador en palqui,Los Lagos
Sector de las peñas,Arica y Parinacota
Río Azopardo--Desembocadura,Magallanes
Parque Nacional Conguillio  (Sendero Sierra Nevada),Araucanía
Autopista 78--Rio Mapocho,Región Metropolitana de Santiago
"PN Conguillío [usar localidades específicas, por favor]",Araucanía
Puqueldón,Los Lagos
"Chiloe, Colonia Yuangai, CL",Los Lagos
Fuerte ahui,Los Lagos
camino al aeropuerto,Magallanes
Faro corona,Los Lagos
"-52,1831x-70,1405 - 31-12-2015 15:37",Magallanes
"-52,2355x-70,2694 - 31-12-2015 15:15",Magallanes
"-52,4216x-70,5714 - 31-12-2015 14:22",Magallanes
"Ruta Gallegos Chico, Kilometro 15",Magallanes
Laguna Oazy Harbour,Magallanes
"CL-Coquimbo-Combarbalá-D-55 - -31,1673x-71,0114",Coquimbo
"Casa de Sergio, Punta Chilén",Los Lagos
Guardaria Grey a Punta Arenas,Magallanes
Guardaria Grey,Magallanes
Hotel Zafiro,Los Lagos
Laguna de los Patos (Puchuncavi),Valparaíso
"-29.994x-70.872 - ene. 1, 2016 18:25",Coquimbo
CL-Región de Coquimbo-Vicuña-Callejon Ferrenor - -29.98x-70.948,Coquimbo
"Camino Embalse El Yeso, km 17,8",Región Metropolitana de Santiago
"Camino Embalse El Yeso, km 6,3",Región Metropolitana de Santiago
Laguna Verde (Valparaíso),Valparaíso
"Clinica Alemana, Santiago, Chile",Región Metropolitana de Santiago
Ruta 9 Norte Km 40,Magallanes
La Parva. Mirador Aguiluchos,Región Metropolitana de Santiago
"CL-Bío-Bío-San Carlos-3840000 - -36,4535x-71,9337",Ñuble
Calle Guatemala,Coquimbo
Las Industrias,Bío-Bío
"Ojos del Caburga, Pucón, Chile",Araucanía
Bahía Jara,Aisén del General Carlos Ibáñez del Campo
PN Bernardo O'Higgins--Pelágico,Magallanes
Casa del tío de David,Los Lagos
Río Bonito,Los Lagos
Incidental vulture,Ñuble
Punta Teatinos--Humedal,Coquimbo
Serena Golf costa,Coquimbo
"-52,1087x-70,3335 - 03-01-2016 15:42",Magallanes
Rio gallego chico,Magallanes
"-52,1027x-70,1646 - 03-01-2016 15:17",Magallanes
"-52,1877x-69,8106 - 03-01-2016 14:28",Magallanes
Rodillo,Coquimbo
"-52,2354x-69,7566 - 03-01-2016 14:07",Magallanes
Acceso Sur Km 20,Región Metropolitana de Santiago
"Ibanez river, Carretera Austral",Aisén del General Carlos Ibáñez del Campo
Salto del Laja,Bío-Bío
"-35,826x-70,757 - 06/01/2016 17:28",Maule
CL-Región de Arica y Parinacota-Arica-764 Avenida Comandante San Martín - -18.492x-70.328,Arica y Parinacota
Puerto Punta Padrones,Atacama
laguna,Magallanes
Rio Santa María (Rio arriba),Magallanes
Rio Blanco,Magallanes
Loreto,Atacama
Rio Tres Brazos,Magallanes
RN Los Flamencos--Lagunas Miscanti y Miñiques [usar hotspots específicos],Antofagasta
CL--Antofagasta--Road Socaire to Lagunas,Antofagasta
Camino,Arica y Parinacota
Camino a Los Muermos,Los Lagos
"-41.8792x-73.7246 - Jan 5, 2016, 7:23 PM",Los Lagos
"Calle Noruega, Las Condes",Región Metropolitana de Santiago
"Laguna recamo, talcahuano",Bío-Bío
Saladillo,Valparaíso
"-41.8634x-73.9552 - Jan 5, 2016, 4:07 PM",Los Lagos
Avda del mar 1,Coquimbo
"Las Vertientes Norte, El Olmo. Peñalolén",Región Metropolitana de Santiago
rio paine,Magallanes
Camp. BioBio - Rio Azul - Futa - Chile,Los Lagos
El Melocotón,Región Metropolitana de Santiago
CL - coast park,Valparaíso
Puerto Vargas--Lago Llanquihue,Los Lagos
Caleta lenga,Bío-Bío
"CL-Metropolitana de Santiago-Estación Central-Universidad De Santiago De Chile - -33,4501x-70,6811",Región Metropolitana de Santiago
Playa Tomé,Bío-Bío
Santa Julia,Valparaíso
Katarpe,Antofagasta
CL-Región de Coquimbo-La Serena-420 Los Carrera - -29.902x-71.251,Coquimbo
Dichato,Bío-Bío
Camino al Río San Juan,Magallanes
Cerro Pabellón,Antofagasta
Isla Mocha--Pelágico,Bío-Bío
Caleta Chome,Bío-Bío
San Jacinto,Libertador General Bernardo O'Higgins
Los Queñes,Maule
Las Mariposas,Ñuble
CL-Araucania Region-Padre Las Casas-CH-5 - -38.7921x-72.6182,Araucanía
CL--Antofagasta--Calama--Rio Loa,Antofagasta
CL-Región de Coquimbo-La Serena-1501-1561 Juan Antonio Ríos - -29.913x-71.253,Coquimbo
"Camino a Valle Nevado, sector Refugio de piedra -33.36x-70.295",Región Metropolitana de Santiago
Sur cobija,Antofagasta
posa al costado de la carretera,Coquimbo
Linao,Los Lagos
"Temuco Avenida Caupolicán-38,727x-72,578 - 07/01/2016 14:18",Araucanía
Manzano,Magallanes
Duao--Pelágico,Maule
Santa Elena,Ñuble
Viña del Mar--Borde Costero,Valparaíso
Sector Cuel,Bío-Bío
"CL-Magallanes and Antartica Chilena-Camino a Puerto Navarino - -54.8835x-67.9121 - Feb 2, 2016, 3:25 PM",Magallanes
CL--Valparaíso--F90 W Casablanca,Valparaíso
CL-Araucania Region-Pucón - -39.303x-71.8456,Araucanía
Vivero,Región Metropolitana de Santiago
"-41.8356x-73.6301 - Jan 4, 2015, 8:55 AM",Los Lagos
"-52,8401x-70,9723 - 08-01-2016 12:06",Magallanes
"-52,8864x-70,9302 - 08-01-2016 11:52",Magallanes
Los Pozos,Coquimbo
"CL-Région métropolitaine de Santiago-Las Condes-2711-2831 Roger de Flor - -33,417x-70,601",Región Metropolitana de Santiago
"A la vera de RN215, Parada 3",Los Lagos
"A la vera de RN215, Parada 2",Los Lagos
Drake Passage arrival day 1 checklist 11,Magallanes
laguna aeropuerto porvenir,Magallanes
Drake Passage arrival day 1 checklist 10.,Magallanes
CL--Valparaíso--Hwy F30E Quintero,Valparaíso
Bahía Porvenir,Magallanes
"Lagunillas, caminata a MO Las Tetonas",Región Metropolitana de Santiago
Drake Passage arrival day 1 checklist 9,Magallanes
Paso Desolación,Los Lagos
Drake Passage Arrival Day 1 checklist 6,Magallanes
Drake Passage Arrival Day 1 checklist 5,Magallanes
Terminal Ferry (desde abordo),Magallanes
Drake Passage Arrival Day 1 checklist 4,Magallanes
Drake Passage Arrival Day 1 checklist 2,Magallanes
CL Robinson Crusoe Island,Valparaíso
CL--RMSantiago--Las Condes,Región Metropolitana de Santiago
"Chacao, Paseo costero",Los Lagos
Transbordador Pargua - Chacao,Los Lagos
Sitio Arqueológico Monte Verde,Los Lagos
Chiñigue,Región Metropolitana de Santiago
Los Domínicos,Región Metropolitana de Santiago
"A la vera de V-90, Maullín",Los Lagos
"CL-Región de Magallanes y de la Antártica Chilena-Punta Arenas-Av Costanera del Estrecho de Magallanes - -53,144x-70,88",Magallanes
Laguna Gaspar,Magallanes
"El Yeso, viejos refugios militares",Región Metropolitana de Santiago
"-53,1210x-69,3356 - 10-01-2016 14:18",Magallanes
"CL-Bío-Bío-Tomé-O-14 - -36,5410x-72,9331",Bío-Bío
Amador Barrientos,Los Lagos
Reñaca--Playa Cochoa,Valparaíso
"El Yeso, vega corral",Región Metropolitana de Santiago
Laguna Artificial - Laguna Batuco,Región Metropolitana de Santiago
CL--RMSantiago--rd W of Tiltil,Región Metropolitana de Santiago
"-53,3482x-69,8065 - 10-01-2016 10:16",Magallanes
Cabañas Jardín del Turista,Los Lagos
El Colorado (RM),Región Metropolitana de Santiago
"CL-Región de Magallanes y de la Antártica Chilena-Natales - -52,106x-72,47 - ene 11, 2016 22:05",Magallanes
"Vilches Alto, Sector Capilla",Maule
Llicaldad,Los Lagos
Bahía Nercón,Los Lagos
Puente Nercón,Los Lagos
Mirador Faro Corona,Los Lagos
"A la vera de W-220, Parada 1",Los Lagos
"-42.8909x-72.7393 - Jan 11, 2016, 5:29 PM",Los Lagos
"Parc de Chabunco, Punta Arenas, CL",Magallanes
Puñihuil,Los Lagos
"Estero San Jerónimo, Algarrobo, Chile",Valparaíso
"-42.8863x-72.7464 - Jan 11, 2016, 4:21 PM",Los Lagos
PN Radal Siete Tazas--sector Parque Inglés,Maule
Volcán Quizapu,Región Metropolitana de Santiago
Catapilco,Valparaíso
"Río Maule, sector Paso Nevado",Maule
"a la vera de W-160, Caulín Parada 2",Los Lagos
"Bahia Lomas Oeste, Campamento",Magallanes
"Avenida Brasil, Chillan",Ñuble
"Puente Pudeto, Ancud",Los Lagos
Miramar (acceso),Magallanes
"Sierra Baguales, Torres del Paine",Magallanes
"CL-Región de Magallanes y de la Antártica Chilena-Natales - -51,716x-72,482 - ene 12, 2016 22:11",Magallanes
Cabañas Vista Hermosa,Los Lagos
"-43.1173x-73.9446 - Jan 12, 2016, 7:24 PM",Los Lagos
"-43.0598x-73.8890 - Jan 12, 2016, 6:25 PM",Los Lagos
Andres Bello r5,Región Metropolitana de Santiago
Humedal Quemchi,Los Lagos
CL--Maule--Hwy 5 Talca N,Maule
"-43.1436x-73.5012 - Jan 12, 2016, 2:16 PM",Los Lagos
Aucho playa,Los Lagos
Playa de Linao,Los Lagos
"Linao, Chiloé",Los Lagos
"-53,2306x-68,8963 - 12-01-2016 11:42",Magallanes
Río Claro--Balneario,Maule
"CL-Los Lagos-Oceano Pacifico - -43.0566x-73.1537 - Jan 14, 2016, 8:29 PM",Los Lagos
Curva 20,Región Metropolitana de Santiago
"-52,9707x-69,2342 - 12-01-2016 09:57",Magallanes
Estancia Chile,Magallanes
Talca--Canal Pencahue,Maule
"CL-Bío-Bío-Quirihue-3990000 - -36,2197x-72,6297",Ñuble
Santuario Las Torcazas,Región Metropolitana de Santiago
Noviciado,Región Metropolitana de Santiago
"Cabañas Los Aromos, Quellón",Los Lagos
Carretera Los Alerces,Los Lagos
CL--Maule--rd to Lago Colbun,Maule
A la vera de W-850,Los Lagos
"-43.1165x-73.9454 - Jan 13, 2016, 2:51 PM",Los Lagos
CL-Los Ríos Region-La Unión - -40.195x-73.434 - 16 Jan 2016 15:38,Los Ríos
Isla Tenglo,Los Lagos
Playa y dunas Cucao,Los Lagos
"Ruta 9, Sector río Rogeles",Magallanes
"Huillinco, Chiloé",Los Lagos
CL-Biobío-San Fabián-3860000 - -36.5407x-71.5491,Ñuble
Casa Iván ,Arica y Parinacota
Paseo Wheelwright,Valparaíso
"A la vera de RN5, Parada 2",Los Lagos
Playa Maitencillo,Valparaíso
A la vera de RN5.,Los Lagos
"Parque Tantauco, Parada",Los Lagos
"Parque Tantauco, Seccional Guardaparques",Los Lagos
Parque Nacional Chiloe (trails and beach),Los Lagos
"Lago San Antonio, Parque Tantauco",Los Lagos
El Canelillo,Valparaíso
CL--Los Ríos--Hwy 5 Paillaco,Los Ríos
Parque Metropolitano Cerro Caracol,Bío-Bío
Limache,Valparaíso
Cerro de la Virgen,Maule
CL--Los Lagos--Lechagua,Los Lagos
La Estrella,Coquimbo
Río Laraquete--Desembocadura,Bío-Bío
Qhapaq Ñam (Cámino del Inca),Arica y Parinacota
-29.975x-71.105 - 15 ene. 2016 19:43,Coquimbo
CL--Los Lagos--logging roads west of Lechagua,Los Lagos
"-53,155x-70,886 - ene 15, 2016 16:16",Magallanes
"Humedal Putemún, Castro",Los Lagos
"Parque Valle del Yeso, sector portería",Región Metropolitana de Santiago
Camino Porvenir - Pingüino Rey (Cruce Ruta Y71-Y635),Magallanes
Golfo de Arauco--Sur,Bío-Bío
"CL-Magallanes and Antartica Chilena-Punta Arenas-Calle Costanera 1201-1253 - -53,1639x-70,8970",Magallanes
"CL-Bío-Bío-Quirihue-CH-126 - -36,2196x-72,5481",Ñuble
Santa Adriana,Bío-Bío
"Ruta 9, Mirador Cordón Baquedano? -51.962x-72.064",Magallanes
Campo Caipulli,Los Lagos
"El Infiernillo, Ruta D41, Paso de Agua Negra.",Coquimbo
